Gene Name,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Adjacent Kidney,Metastasis CCRCC,Metastasis CCRCC,Metastasis CCRCC,Metastasis CCRCC,Metastasis CCRCC,Metastasis CCRCC,Metastasis CCRCC,Metastasis CCRCC,Metastasis CCRCC,Metastasis CCRCC,Metastasis CCRCC,Metastasis CCRCC,Metastasis CCRCC,Metastasis CCRCC,Metastasis CCRCC,Metastasis CCRCC,Metastasis CCRCC,Metastasis CCRCC,Metastasis CCRCC,Metastasis CCRCC,Metastasis CCRCC,Metastasis CCRCC
PPP2CA,6.48,6.72,6.56,6.3,6.6,6.4,6.86,6.77,6.92,7.01,6.67,6.59,6.65,6.72,6.96,6.49,6.51,6.39,6.86,6.59,6.65,6.7,6.59,6.62,6.84,6.74,6.52,6.65,6.5,6.76,6.35,6.41,6.29,6.55,7.01,6.91,6.67,6.9,6.56,6.6,6.88,6.38,6.93,6.71,6.83,7.07,7.2,6.84,6.96,6.97,7.14,6.46,6.39,6.77,6.8,6.97,6.97,6.51,6.64,6.02,6.41,6.76,6.98,6.34,7.04,7.42,6.78,6.75,6.95,6.81,6.85,7.31
BECN1,6.02,5.89,6.18,6.61,6.02,6,5.84,6.08,6.02,5.74,6.14,6.12,6.24,5.97,5.98,6.09,5.71,6.15,6.26,6.04,6.14,6.12,5.94,6.04,5.64,6.05,6.16,6.07,6.24,6.01,5.9,6.12,5.91,5.23,5.13,5.59,5.77,6,5.77,5.84,6.2,6.05,5.55,5.91,5.8,5.67,5.14,5.4,5.93,5.66,5.78,5.96,5.02,6.06,5.7,5.17,6.11,5.84,5.84,4.75,5.46,5.69,6.14,4.39,5.48,5.62,5.46,4.73,4.86,4.5,5.61,4.96
BAK1,4.88,5.15,5.45,5.75,5.2,4.89,4.95,4.58,4.78,5.08,4.75,4.83,5.34,5.13,4.96,4.68,4.49,4.97,5.33,5.51,5.37,5.11,4.82,6.07,4.57,4.89,5.07,5.17,4.77,5.04,5.23,5.12,4.99,3.27,5.54,4.36,5.19,5.01,4.54,4.84,5.83,5.1,4.36,5.02,2.54,5.33,2.72,2.46,4.72,5.04,5.65,5.58,4.75,5.59,5.31,5.07,5.94,5.85,5.85,4.49,4.99,5.78,5.47,3.53,5.79,3.94,5.43,3.01,4.9,5.88,5.01,5.28
BCL2L1,6.76,6.4,6.17,6.72,6.86,6.85,6.74,6.19,7.07,6.9,6.74,6.73,6.7,6.49,6.74,6.52,7.35,6.84,6.65,6.85,7.26,6.58,6.6,6.57,7.82,6.92,6.65,6.84,6.67,6.58,6.32,7.04,6.81,6.62,6.5,6.85,6.8,6.77,6.6,6.88,6.48,6.62,6.83,6.66,6,6.42,6.17,6.19,6.71,6.57,7.1,6.42,6.39,6.63,6.56,6.97,6.37,6.14,6.25,5.98,6.46,7.04,6.79,5.62,6.91,6.16,6.51,6.17,6.08,6.65,6.57,6.03
PIK3CB,5.51,6.37,6.64,5.82,5.69,6.05,6.47,5.34,6.09,5.91,6.38,6.3,6.23,6.2,6.02,5.79,5.57,5.55,6.22,5.94,5.54,6.58,6.18,5.75,5.89,6.35,6.24,5.94,6.28,5.85,5.58,5.83,5.89,6.18,5.92,6.23,5.73,6.03,5.85,5.73,6.34,6.1,5.92,6.23,5.17,5.76,4.97,5.42,6.18,5.45,6.26,6.64,4.24,6.3,6.57,6.3,5.37,5.83,6.65,5.86,6.6,5.99,6.6,5.01,5.77,4.73,5.97,4.8,5.23,5.57,5.37,5.05
STRN4,7,6.68,6.76,7.32,6.95,6.86,6.73,6.62,6.58,6.41,6.5,6.68,6.94,6.87,6.9,6.81,6.65,6.96,6.62,6.71,6.66,6.81,6.65,6.81,5.53,6.66,6.6,6.69,6.7,6.81,7.01,7.19,7.11,4.93,6.34,6.15,6.7,6.76,6.83,6.8,6.67,6.95,5.84,6.75,5.58,6.17,5.68,4.9,5.97,6.7,6.34,6.87,5.34,6.14,6.61,6.56,6.62,7.04,6.96,6.22,6.38,6.95,6.61,6.75,6.92,5.84,6.79,6.37,5.4,5.92,6.93,5.54
STRN3,5.07,5.69,6.01,5.13,5.01,5.08,5.38,5.68,5.54,5.28,5.56,5.6,5.68,5.68,5.64,5.82,4.57,4.79,5.46,5.03,5.18,5.68,5.55,5.27,4.92,5.3,5.52,5.33,5.48,5.72,5.59,5.29,5.62,4.86,5.34,5.67,5.34,5.71,5.92,5.37,5.42,5.5,5.54,5.65,5.31,5.54,5.64,5.9,5.59,5.61,5.38,5.34,3.43,5.38,5.46,4.99,6.26,5.94,5.68,4.1,4.45,4.62,6.29,6.1,4.83,5.94,5.31,6.13,5.48,5.38,5.91,5.87
BAX,5.94,5.34,5.36,5.73,6.06,5.51,6.1,5.18,6.46,5.95,5.4,6.12,5.47,5.47,5.62,5.24,5.71,5.93,5.45,6.11,6.7,5.11,5.62,5.93,6.39,5.45,5.33,5.55,5.44,5.89,5.84,6.35,6.22,4.92,5.3,5.63,6.09,5.74,5.59,6.68,5.54,5.61,5.57,5.61,4.03,5.1,4.64,5.32,5.3,5.52,6.07,6.08,6.82,6.53,6,6.62,5.82,5.96,5.86,6.05,5.82,6.59,6.28,6.17,6.9,5.42,5.68,5.53,6.26,5.99,5.96,6.06
ULK1,7.12,7.48,7.27,7.83,7.02,7.29,7.19,7.56,6.77,6.8,6.74,6.83,7.46,7.61,7.83,7.76,8.01,7.1,7.22,7,7.45,7.1,7.05,7.2,6.36,6.91,7.07,7.26,7.09,7.54,7.47,7.37,7.57,6,6.16,6.63,7.48,7.29,7.55,7.06,7.6,7.52,6.07,7.17,6.29,6.65,6.64,5.8,6.5,6.79,7.36,6.86,4.24,6.16,7.33,7.23,6.8,7.22,6.51,7.39,7.53,7.38,6.66,7.54,7.53,7.2,7.85,6.88,6.52,6.72,7.7,6.77
PINK1,5.52,5.4,5.28,5.97,5.6,5.73,5.34,5.37,5.27,5.1,5.5,5.52,5.51,5.31,5.5,5.49,5.38,5.79,5.36,5.25,4.54,5.39,5.45,5.12,5.28,5.54,5.44,5.43,5.43,5.27,5.03,5.59,5.3,4.95,4.63,4.86,5.19,5.09,5.21,4.49,5.36,5.58,5.07,5.25,4.13,4.84,3.55,4.7,4.85,5.3,5.16,3.72,4.24,4.07,5.2,4.48,4.47,4.53,4.27,4.5,4.84,5.39,4.77,2.99,3.83,2.62,3.18,2.65,3.43,2.69,5.47,4.93
